1, 6
2, 3
3, 1
4, 7
5, 10
6, 2
7, 3
8, 1
9, 10
10, 1
11, 2
12, 7
13, 10
14, 7
13, 2
16, 4
17, 10
18, 4
19, 5
20, 7
21, 5
22, 3
23, 3
24, 5
25, 7
26, 3
27, 1
28, 6
28, 3
30, 9
31, 8
32, 8
33, 2
34, 7
35, 5
36, 2
37, 6
38, 8
39, 5
40, 9
41, 7
42, 2
43, 3
44, 2
45, 6
46, 8
47, 6
48, 1
49, 9
50, 5
51, 6
52, 10
53, 5
54, 10
55, 10
56, 3
57, 10
58, 1
59, 3
60, 5
61, 7
62, 6
63, 7
64, 5
65, 4
66, 5
67, 2
68, 3
69, 10
70, 6
72, 6
72, 2
73, 1
74, 8
75, 1
76, 7
77, 10
78, 3
79, 4
80, 8
81, 10
82, 1
83, 4
84, 8
85, 1
86, 8
87, 1
88, 1
89, 3
90, 9
91, 8
92, 8
93, 3
94, 10
95, 10
96, 7
97, 7
99, 7
99, 7
100, 7
101, 5
102, 9
103, 2
104, 1
105, 2
106, 6
107, 5
108, 9
109, 10
110, 1
111, 8
112, 7
113, 2
114, 4
115, 2
116, 5
117, 9
118, 2
119, 1
120, 10
121, 10
122, 7
123, 8
124, 4
125, 2
126, 5
127, 3
128, 1
129, 10
130, 6
131, 3
132, 8
133, 10
134, 8
135, 10
136, 3
137, 7
138, 2
139, 7
140, 2
141, 4
142, 5
143, 10
144, 9
145, 8
146, 10
147, 4
148, 6
149, 6
150, 3
151, 9
152, 10
153, 7
154, 3
155, 5
156, 7
157, 1
158, 2
159, 8
160, 3
161, 5
162, 3
163, 9
164, 7
165, 8
166, 4
167, 2
168, 4
169, 5
170, 3
171, 8
172, 5
173, 2
174, 4
175, 6
176, 8
177, 7
178, 1
179, 10
180, 4
181, 1
182, 4
183, 7
184, 1
185, 8
186, 8
187, 4
188, 5
189, 4
190, 10
191, 10
192, 6
193, 10
194, 7
195, 4
196, 8
197, 2
199, 3
199, 3
200, 10
